<ID|readonly|noverify>,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH,RUSSIAN,POLISH,CZECH,TURKISH,CHINESE,JAPANESE,PORTUGUESE,UKRAINIAN,SERBIAN,HUNGARIAN,KOREAN,BELARUSIAN,ROMANIAN,TCHINESE,HCHINESE,VIETNAMESE,COMMENTS,MAX_CHARS
germ_pzsfl_IVa_dickermax,Dicker Max,Dicker Max,Dicker Max,Dicker Max,Dicker Max,Dicker Max,Dicker Max,PzSfl IVa Dicker Max,Dicker Max,大\t马\t克\t斯,ディッカー・マックス,Dicker Max,Dicker Max,Dicker Max,Dicker Max,디커 막스,Dicker Max,Dicker Max,大\t麥\t克\t斯,PK 105 毫\t米\t自\t行\t火\t炮\t运\t载\t车,Dicker Max,,
germ_amd_35_kwk39,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,P204(f) 装\t甲\t车\t/KwK 39,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) PaK,Pz.Sp.Wg.P204(f) KwK 39/1,Pz.Sp.Wg.P204(f) KwK 39/1,,
germ_amd_35_kwk,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,P204(f) 装\t甲\t车\t/KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK,Pz.Sp.Wg.P204(f) KwK 38,Pz.Sp.Wg.P204(f) KwK 38,,
germ_sdkfz_222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz. 222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,Sd.Kfz.222,,
germ_sdkfz_251_21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz. 251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz. 251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz. 251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,Sd.Kfz.251/21,,
germ_sdkfz_251_22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz. 251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz. 251/22,Sd.Kfz. 251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,Sd.Kfz.251/22,,
germ_sdkfz_251_9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz. 251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz. 251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,Sd.Kfz.251/9,,
germ_sdkfz_251_10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz. 251/10,Sd.Kfz. 251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz. 251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,Sd.Kfz.251/10,SK 251/10 75\t毫\t米\t突\t击\t榴\t弹\t炮,Sd.Kfz.251/10,,
germ_pzkpfw_38t_Aufklarungspanzer,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,AufklPz 38(t),Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz.140/1,SdKfz 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,Sd.Kfz. 140/1,38(t) 偵\t查\t坦\t克,PK 38(t) 侦\t查\t坦\t克,Sd.Kfz. 140/1,,
germ_sdkfz_9_flak37,"8,8 cm Flak 37 Sfl.","8,8 cm Flak 37 Sfl.","8,8 cm Flak 37 Sfl.","8,8 cm Flak 37 Sfl.",8.8 cm Flak 37 Sfl.,"8,8 cm Flak 37 Sfl.","8,8 cm Flak 37 Sfl.",SdKfz 9 Sfl. FlaK 37,"8,8 cm Flak 37 Sfl.",88 毫\t米\t火\t炮\t运\t载\t车,8.8 cm Flak 37 Sfl.,"8,8 cm Flak 37 Sfl.",8.8 cm Flak 37 Sfl.,"8,8 cm Flak 37 Sfl.","8,8 cm FlaK 37 Sfl.","8,8cm Flak 37 Sfl.","8,8 cm Flak 37 Sfl.","Flak 37 Sfl. 8,8 cm",88 毫\t米 FlaK 37 自\t行\t火\t炮,FK37 88 毫\t米\t自\t行\t防\t空\t炮,"8,8 cm Flak 37 Sfl.",,
germ_pzkpfw_35t,Pz.35(t),Pz.35(t),Pz.35(t),Pz.35(t),Pz.35(t),Pz.35(t),Pz.35(t),PzKpfw 35(t),Pz.35(t),35(t) 坦\t克,35(t) 戦車,Pz.35(t),Pz.35(t),Pz.35(t),Pz.35(t),35(t) 전차,Pz.35(t),Panzer 35(t),Pz.Kpfw. 35(t),PK 35(t),Pz.35(t),,
germ_pzkpfw_38t_na,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,38(t) 坦\t克 n.A. 型,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,38(t) 전차 n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,Pz.38(t) n.A.,,
germ_pzkpfw_38t_ausf_F,Pz.38(t) F,Pz.38(t) F,Pz.38(t) F,Pz.38(t) F,Pz.38(t) F,Pz.38(t) F,Pz.38(t) F,PzKpfw 38(t) Ausf. F,Pz.38(t) F,38(t) 坦\t克 F 型,38(t) 戦車 F 型,Pz.38(t) F,Pz.38(t) F,Pz.38(t) F,Pz.38(t) F,38(t) 전차 F형,Pz.38(t) F,Panzer 38(t) F,Pz.38(t) F,PK 38(t) F 型,Pz.38(t) F,,
germ_pzkpfw_38t_ausf_A,Pz.38(t) A,Pz.38(t) A,Pz.38(t) A,Pz.38(t) A,Pz.38(t) A,Pz.38(t) A,Pz.38(t) A,PzKpfw 38(t) Ausf. A,Pz.38(t) A,38(t) 坦\t克 A 型,38(t) 戦車 A 型,Pz.38(t) A,Pz.38(t) A,Pz.38(t) A,Pz.38(t) A,38(t) 전차 A형,Pz.38(t) A,Panzer 38(t) A,Pz.38(t) A,PK 38(t) A 型,Pz.38(t) A,,
germ_panzerwerfer_42,15 cm Pz.W.42,Pz.W.42 de 15 cm,15 cm Pz.W.42,15 cm Pz.W.42,15 cm Pz.W.42,15 cm Pz.W.42,15 cm Pz.W.42,SdKfz 4/1 Panzerwerfer 42,15 cm Pz.W.42,42 式\t自\t行\t火\t箭\t炮,15 cm Pz.W.42,15 cm Pz.W.42,15 cm Pz.W.42,15 cm Pz.W.42,15 cm Pz.W.42,15 cm Pz.W.42,15 cm Pz.W.42,Panzerwerfer 42,15 公\t分\t火\t箭\t投\t射\t車,PW 42\t自\t行\t火\t箭\t炮,15 cm Pz.W.42,,
germ_spz_oerlikon_raketenautomat,Raketenautomat,SPz Raketenautomat,Raketenautomat,Raketenautomat,Raketenautomat,Raketenautomat,Raketenautomat,Raketenautomat,Raketenautomat,自\t动\t火\t箭\t发\t射\t车,ラケーテンアウトマート,Raketenautomat,Raketenautomat,Raketenautomat,Raketenautomat,라케텐아우토마트,Raketenautomat,Raketenautomat,自\t動\t火\t箭\t發\t射\t車,Raketenautomat,Raketenautomat,,
germ_spz_12_3,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3/LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,SPz 12-3 LGS,,
germ_raketenjagdpanzer_2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJagdPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,RakJPz 2,导\t弹\t式\t坦\t克\t歼\t击\t车 2 型,RakJPz 2,,
germ_raketenjagdpanzer_2_hot,RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJagdPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2/HOT,RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 (HOT),RakJPz 2 HOT,RakJPz 2 (HOT),RakJPz 2(HOT),导\t弹\t式\t坦\t克\t歼\t击\t车 2 型\t/\t“霍\t特”,RakJPz 2 (HOT),,
germ_sk105_a2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,JaPz.K A2,▀\tSK 105 A2\t“胸\t甲\t骑\t兵”,JaPz.K A2,,
germ_kanonenjagdpanzer,JPz 4-5,JPz 4-5,Jpz 4-5,JPz 4-5,JPz 4-5,JPz 4-5,Jpz 4-5,KanJPz 4-5,JPz 4-5,JPz 4-5,JPz 4-5,JPz 4-5,JPz 4-5,JPz 4-5,JPz 4-5,JPz 4-5,Jpz 4-5,JPz 4-5,Jpz 4-5,火\t炮\t式\t坦\t克\t歼\t击\t车 4-5 型,JPz 4-5,,
germ_jgdpz_38t,Jagdpanzer 38(t),Jagdpanzer 38(t),Hetzer,Jagdpanzer 38(t),Jagdpanzer 38(t),Jagdpanzer 38(t),Jagdpanzer 38(t),JagdPz 38(t) Hetzer,Jagdpanzer 38(t),38(t) 坦\t克\t歼\t击\t车,38(t) 駆逐戦車,Jagdpanzer 38(t),Jagdpanzer 38(t),Jagdpanzer 38,Jagdpanzer 38(t),38(t) 구축전차,Jagdpanzer 38(t),Jagdpanzer 38(t),追\t獵\t者,JK 38(t)\t坦\t克\t歼\t击\t车,Jagdpanzer 38(t),,
germ_pzkpfw_II_ausf_H,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,PzSfl Ic,Pz.Sfl.Ic,Ic 型\t自\t行\t火\t炮,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,Pz.Sfl.Ic,二\t號\t坦\t克\tH\t型,PK 2 号 H 型,Pz.Sfl.Ic,,
germ_pzkpfw_II_ausf_F,Pz.II F,Pz.II F,Pz.II F,Pz.II F,Pz.II F,Pz.II F,Pz.II F,PzKpfw II Ausf. F,Pz.II F,二\t号\t坦\t克 F 型,II 号戦車 F 型,Pz.II F,Pz.II F,Pz.II F,Pz.II F,2호 전차 F형,Pz.II F,Panzer II F,二\t號\t坦\t克 F 型,PK 2 号 F 型,Pz.II F,,
germ_pzkpfw_II_ausf_C_DAK,Pz.II C (DAK),Pz.II C (DAK),Pz.II C (DAK),Pz.II C (DAK),Pz.II C (DAK),Pz.II C (DAK),Pz.II С (DAK),PzKpfw II Ausf. C [DAK],Pz.II C (DAK),二\t号\t坦\t克 C 型 (非\t洲\t军\t团),II 号戦車 DAK,Pz.II С (DAK),Pz.II C (DAK),Pz.II C (DAK),Pz.II C (DAK),2호 전차 (아프리카 군단),Pz.II DAK,Panzer II С (DAK),二\t號\t坦\t克 C 型\t（非\t洲\t軍\t團）,PK 2 号 C 型\t（DAK）,Pz.II C (DAK),,
germ_pzkpfw_II_ausf_C,Pz.II C,Pz.II C,Pz.II C,Pz.II C,Pz.II C,Pz.II C,Pz.II C,PzKpfw II Ausf. C,Pz.II C,二\t号\t坦\t克 C 型,II 号戦車 C 型,Pz.II C,Pz.II C,PzKpfw II Ausf.C,Pz.II C,2호 전차 C형,Pz.II C,Panzer II C,二\t號\t坦\t克 C 型,PK 2 号 C 型,Pz.II C,,
germ_pzkpfw_II_ausf_C_td,Pz.II C TD,Pz.II C TD,Pz.II C TD,Pz.II C TD,Pz.II C TD,Pz.II C TD,Pz.II C TD,Pz.II C TD,Pz.II C TD,二\t号\t坦\t克 C 型 (TD),II\t号戦車\tC\t型 TD,Pz.II C TD,Pz.II С TD,Pz.II C TD,Pz.II C TD,2호 전차 C형 TD,Pz.II C TD,Pz.II C TD,二\t號\t坦\t克 C 型 (TD),Pz.II C TD,Pz.II C TD,,
germ_pzkpfw_III_ausf_E,Pz.III E,Pz.III E,Pz.III E,Pz.III E,Pz.III E,Pz.III E,Pz.III E,PzKpfw III Ausf. E,Pz.III E,三\t号\t坦\t克 E 型,III 号戦車 E 型,Pz.III E,Pz.III E,PzKpfw III Ausf.E,Pz.III E,3호 전차 E형,Pz.III E,Panzer III E,三\t號\t坦\t克 E 型,PK 3 号 E 型,Pz.III E,,
germ_pzkpfw_III_ausf_E_race,Pz.III E,Pz.III E,Pz.III E,Pz.III E,Pz.III E,Pz.III E,Pz.III E,PzKpfw III Ausf. E,Pz.III E,三\t号\t坦\t克 E 型,III 号戦車 E 型,Pz.III E,Pz.III E,Pz.III E,Pz.III E,3호 전차 E형,Pz.III E,Panzer III E,三\t号\t坦\t克 E 型,PK 3 号 E 型,Pz.III E,,
germ_pzkpfw_III_ausf_F,Pz.III F,Pz.III F,Pz.III F,Pz.III F,Pz.III F,Pz.III F,Pz.III F,PzKpfw III Ausf. F,Pz.III F,三\t号\t坦\t克 F 型,III 号戦車 F 型,Pz.III F,Pz.III F,PzKpfw III Ausf.F,Pz.III F,3호 전차 F형,Pz.III F,Panzer III F,三\t號\t坦\t克 F 型,PK 3 号 F 型,Pz.III F,,
ussr_pzkpfw_V,▂T-V,▂T-V,▂T-V,▂T-V,▂T-V,▂T-V,▂T-V,▂ T-V,▂T-V,▂\tT-V,▂T-V,▂T-V,▂T-V,▂T-V,▂T-V,▂T-V,▂T-V,▂T-V,▂\tT-V,▂\tT-V,▂T-V,,
ussr_pzkpfw_III_ausf_J_L42,▂T-III,▂T-III,▂T-III,▂T-III,▂T-III,▂T-III,▂T-III,▂ T-III,▂T-III,▂\tT-III,▂T-III,▂T-III,▂T-III,▂T-III,▂T-III,▂T-III,▂T-III,▂T-III,▂\tT-III,▂\tT-III,▂T-III,,
germ_nbfz_VI,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,NbFz Ausf. B,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Nb.Fz.,Neubaufahrzeug,Nb.Fz. 式\t坦\t克,Nb.Fz. 坦\t克,Nb.Fz.,,
germ_pzkpfw_III_ausf_B,Pz.III B,Pz.III B,Pz.III B,Pz.III B,Pz.III B,Pz.III B,Pz.III B,PzKpfw III Ausf. B,Pz.III B,三\t号\t坦\t克 B 型,III 号戦車 B 型,Pz.III B,Pz.III B,Pz.III B,Pz.III B,3호 전차 B형,Pz.III B,Panzer III B,三\t號\t坦\t克 B 型,PK 3 号 B 型,Pz.III B,,
germ_pzkpfw_III_ausf_J_L42,Pz.III J,Pz.III J,Pz.III J,Pz.III J,Pz.III J,Pz.III J,Pz.III J,PzKpfw III Ausf. J (KwK 38),Pz.III J,三\t号\t坦\t克 J 型,III 号戦車 J 型,Pz.III J,Pz.III J,Pz.Kpfw. III Ausf. J,Pz.III J,3호 전차 J형,Pz.III J,Panzer III J,三\t號\t坦\t克 J 型,PK 3 号 J 型,Pz.III J,,
germ_pzkpfw_III_ausf_J,Pz.III J1,Pz.III J1,Pz.III J1,Pz.III J1,Pz.III J1,Pz.III J1,Pz.III J1,PzKpfw III Ausf. J (KwK 39),Pz.III J1,三\t号\t坦\t克 J1 型,III 号戦車 J1 型,Pz.III J1,Pz.III J1,Pz.III J1,Pz.III J1,3호 전차 J1형,Pz.III J1,Panzer III J1,三\t號\t坦\t克 J1 型,PK 3 号 J1 型,Pz.III J1,,
germ_pzkpfw_III_ausf_L_tutorial,Pz.III L,Pz.III L,Pz.III L,Pz.III L,Pz.III L,Pz.III L,Pz.III L,PzKpfw III Ausf. L,Pz.III L,三\t号\t坦\t克 L 型,III 号戦車 L 型,Pz.III L,Pz.III L,PzKpfw III Ausf.L,Pz.III L,3호 전차 L형,Pz.III L,Panzer III L,三\t號\t坦\t克 L 型,PK 3 号 L 型,Pz.III L,,
germ_pzkpfw_III_ausf_L,Pz.III L,Pz.III L,Pz.III L,Pz.III L,Pz.III L,Pz.III L,Pz.III L,PzKpfw III Ausf. L,Pz.III L,三\t号\t坦\t克 L 型,III 号戦車 L 型,Pz.III L,Pz.III L,PzKpfw III ausf L,Pz.III L,3호 전차 L형,Pz.III L,Panzer III L,三\t號\t坦\t克 L 型,PK 3 号 L 型,Pz.III L,,
germ_pzkpfw_III_ausf_M,Pz.III M,Pz.III M,Pz.III M,Pz.III M,Pz.III M,Pz.III M,Pz.III M,PzKpfw III Ausf. M,Pz.III M,三\t号\t坦\t克 M 型,III 号戦車 M 型,Pz.III M,Pz.III M,PzKpfw III Ausf.M,Pz.III M,3호 전차 M형,Pz.III M,Panzer III M,三\t號\t坦\t克 M 型,PK 3 号 M 型,Pz.III M,,
germ_pzkpfw_III_ausf_N,Pz.III N,Pz.III N,Pz.III N,Pz.III N,Pz.III N,Pz.III N,Pz.III N,PzKpfw III Ausf. N,Pz.III N,三\t号\t坦\t克 N 型,III 号戦車 N 型,Pz.III N,Pz.III N,PzKpfw III Ausf.N,Pz.III N,3호 전차 N형,Pz.III N,Panzer III N,三\t號\t坦\t克 N 型,PK 3 号 N 型,Pz.III N,,
germ_pzkpfw_IV_ausf_E,Pz.IV E,Pz.IV E,Pz.IV E,Pz.IV E,Pz.IV E,Pz.IV E,Pz.IV E,PzKpfw IV Ausf. E,Pz.IV E,四\t号\t坦\t克 E 型,IV 号戦車 E 型,Pz.IV E,Pz.IV E,Pz.Kpfw. IV Ausf. E,Pz.IV E,4호 전차 E형,Pz.IV E,Panzer IV E,四\t號\t坦\t克 E 型,PK 4 号 E 型,Pz.IV E,,
germ_pzkpfw_IV_ausf_F,Pz.IV F1,Pz.IV F1,Pz.IV F1,Pz.IV F1,Pz.IV F1,Pz.IV F1,Pz.IV F1,PzKpfw IV Ausf. F1,Pz.IV F1,四\t号\t坦\t克 F1 型,IV 号戦車 F1 型,Pz.IV F1,Pz.IV F1,PzKpfw IV Ausf.F1,Pz.IV F1,4호 전차 F1형,Pz.IV F1,Panzer IV F1,四\t號\t坦\t克 F1 型,PK 4 号 F1 型,Pz.IV F1,,
germ_pzkpfw_IV_ausf_F2,Pz.IV F2,Pz.IV F2,Pz.IV F2,Pz.IV F2,Pz.IV F2,Pz.IV F2,Pz.IV F2,PzKpfw IV Ausf. F2,Pz.IV F2,四\t号\t坦\t克 F2 型,IV 号戦車 F2 型,Pz.IV F2,Pz.IV F2,PzKpfw IV Ausf.F2,Pz.IV F2,4호 전차 F2형,Pz.IV F2,Panzer IV F2,四\t號\t坦\t克 F2 型,PK 4 号 F2 型,Pz.IV F2,,
germ_pzkpfw_IV_ausf_C,Pz.IV C,Pz.IV C,Pz.IV C,Pz.IV C,Pz.IV C,Pz.IV C,Pz.IV C,PzKpfw IV Ausf. C,Pz.IV C,四\t号\t坦\t克 C 型,IV 号戦車 C 型,Pz.IV C,Pz.IV C,PzKpfw IV Ausf.C,Pz.IV C,4호 전차 C형,Pz.IV C,Panzer IV C,四\t號\t坦\t克 C 型,PK 4 号 C 型,Pz.IV C,,
germ_pzkpfw_IV_ausf_G,Pz.IV G,Pz.IV G,Pz.IV G,Pz.IV G,Pz.IV G,Pz.IV G,Pz.IV G,PzKpfw IV Ausf. G,Pz.IV G,四\t号\t坦\t克 G 型,IV 号戦車 G 型,Pz.IV G,Pz.IV G,PzKpfw IV Ausf.G,Pz.IV G,4호 전차 G형,Pz.IV G,Panzer IV G,四\t號\t坦\t克 G 型,PK 4 号 G 型,Pz.IV G,,
germ_pzkpfw_IV_ausf_H,Pz.IV H,Pz.IV H,Pz.IV H,Pz.IV H,Pz.IV H,Pz.IV H,Pz.IV H,PzKpfw IV Ausf. H,Pz.IV H,四\t号\t坦\t克 H 型,IV 号戦車 H 型,Pz.IV H,Pz.IV H,PzKpfw IV Ausf.H,Pz.IV H,4호 전차 H형,Pz.IV H,Panzer IV H,四\t號\t坦\t克 H 型,PK 4 号 H 型,Pz.IV H,,
germ_panzerbefelhswagen_VI_P,Pz.Bef.Wg.VI P,Pz.Bef.Wg.VI P,Pz.Bef.Wg.VI P,Pz.Bef.Wg.VI P,Pz.Bef.Wg.VI P,Pz.Bef.Wg.VI P,Pz.Bef.Wg.VI P,PzBfw VI Tiger (P),Pz.Bef.Wg.VI P,虎 (P) 式\t指\t挥\t坦\t克,Pz.Bfw. VI (P),Pz.Bef.Wg.VI P,Pz.Bef.Wg.VI P,Pz.Bfw. VI (P),Pz.Bef.Wg.VI P,6호 지휘전차 P,Pz.Bfw.VI (P),PzBfwVI (P),虎 (P) 式\t指\t揮\t坦\t克,BPK 6 号 (P)\t指\t挥\t坦\t克,Pz.Bef.Wg.VI P,,
germ_panzerbefelhswagen_IV_ausf_J,Pz.Bef.Wg.IV J,Pz.Bef.Wg.IV J,Pz.Bfw.IV J,Pz.Bfw.IV,Pz.Bef.Wg.IV J,Pz.Bef.Wg.IV J,Pz.Bef.Wg.IV J,Pz.Bef.Wg.IV J,Pz.Bef.Wg.IV J,四\t号\t指\t挥\t坦\t克,Pz.Bfw. IV,Pz.Bef.Wg.IV J,Pz.Bef.Wg.IV J,Pz.Bfw. IV,Pz.Bef.Wg.IV J,4호 지휘전차 J형,Pz.Bfw.IV,PzBfw IV,四\t號\t指\t揮\t坦\t克 J 型,BPK 4 号 指\t挥\t坦\t克,Pz.Bef.Wg.IV J,,
germ_pzkpfw_IV_ausf_J,Pz.IV J,Pz.IV J,Pz.IV J,Pz.IV J,Pz.IV J,Pz.IV J,Pz.IV J,PzKpfw IV Ausf. J,Pz.IV J,四\t号\t坦\t克 J 型,IV 号戦車 J 型,Pz.IV J,Pz.IV J,Pz.Kpfw. IV Ausf. J,Pz.IV J,4호 전차 J형,Pz.IV J,Panzer IV J,四\t號\t坦\t克 J 型,PK 4 号 J 型,Pz.IV J,,
germ_ru251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,SpähPz Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,Ru 251,,
germ_th_800_bismark,Class 3 (P),Class 3 (P),Class 3 (P),Class 3 (P),Clase 3 (P),Class 3 (P),Class 3 (P),Class 3 (P),Class 3 (P),第 3 类\t原\t型\t车,Class 3 (P),Class 3 (P),Class 3 (P),Class 3 (P),Class 3 (P),Class 3 (P),Class 3 (P),Class 3 (P),TH800,第\t三\t类\t原\t型\t车,Class 3 (P),,
germ_leopard_I,Leopard I,Leopard I,Leopard 1,Leopard I,Leopard I,Leopard I,Leopard I,Leopard 1,Leopard I,豹 1,レオパルト I,Leopard I,Leopard 1,Leopard I,Leopard 1,레오파르트 I,Leopard I,Leopard I,豹\t1,“豹”\t1,Leopard I,,
germ_vk_3002m,VK 3002 (M),VK 30.02 (M),VK 30.02 (M),VK 30.02 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 30.02 (M),VK 3002 (M),VK 30.02 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),VK 3002 (M),,
germ_panther_II,Panther II,Panther II,Panther II,Panther II,Panther II,Panther II,Panther II,PzKpfw V Panther II,Panther II,黑\t豹 II,パンター II,Panther II,Panther II,Panter II,Panther II,판터 II,Panther II,Panther II,黑\t豹 II,PK 5 号 II\t型,Panther II,,
germ_panther_II_tutorial,Panther II,Panther II,Panther II,Panther II,Panther II,Panther II,Panther II,PzKpfw V Panther II,Panther II,黑\t豹 II,パンター II,Panther II,Panther II,Panter II,Panther II,판터 II,Panther II,Panther II,黑\t豹 II,PK 5 号 II\t型,Panther II,,
